Dec 1  2022,Dec 10  2022,Dec 11  2022,Dec 12  2022,Dec 13  2022,Dec 14  2022,Dec 15  2022,Dec 16  2022,Dec 17  2022,Dec 18  2022,Dec 19  2022,Dec 2  2022,Dec 20  2022,Dec 21  2022,Dec 22  2022,Dec 23  2022,Dec 24  2022,Dec 25  2022,Dec 26  2022,Dec 27  2022,Dec 28  2022,Dec 29  2022,Dec 3  2022,Dec 30  2022,Dec 31  2022,Dec 4  2022,Dec 5  2022,Dec 6  2022,Dec 7  2022,Dec 8  2022,Dec 9  2022,Feb 1  2023,Feb 10  2023,Feb 11  2023,Feb 12  2023,Feb 13  2023,Feb 2  2023,Feb 3  2023,Feb 4  2023,Feb 5  2023,Feb 6  2023,Feb 7  2023,Feb 8  2023,Feb 9  2023,Jan 1  2023,Jan 10  2023,Jan 11  2023,Jan 12  2023,Jan 13  2023,Jan 14  2023,Jan 15  2023,Jan 16  2023,Jan 17  2023,Jan 18  2023,Jan 19  2023,Jan 2  2023,Jan 20  2023,Jan 21  2023,Jan 22  2023,Jan 23  2023,Jan 24  2023,Jan 25  2023,Jan 26  2023,Jan 27  2023,Jan 28  2023,Jan 29  2023,Jan 3  2023,Jan 30  2023,Jan 31  2023,Jan 4  2023,Jan 5  2023,Jan 6  2023,Jan 7  2023,Jan 8  2023,Jan 9  2023,Nov 1  2022,Nov 10  2022,Nov 11  2022,Nov 12  2022,Nov 13  2022,Nov 14  2022,Nov 15  2022,Nov 16  2022,Nov 17  2022,Nov 18  2022,Nov 19  2022,Nov 2  2022,Nov 20  2022,Nov 21  2022,Nov 22  2022,Nov 23  2022,Nov 24  2022,Nov 25  2022,Nov 26  2022,Nov 27  2022,Nov 28  2022,Nov 29  2022,Nov 3  2022,Nov 30  2022,Nov 4  2022,Nov 5  2022,Nov 6  2022,Nov 7  2022,Nov 8  2022,Nov 9  2022,Oct 31  2022,Unnamed: 8
5,7,1,0,4,7,10,8,5,2,1,7,3,0,1,1,0,0,0,2,2,4,7,2,5,2,6,6,8,6,7,5,7,8,6,4,4,3,5,3,3,8,4,7,4,5,7,10,10,10,4,4,5,10,7,4,10,7,4,3,3,5,7,10,12,7,5,3,6,3,3,7,4,5,4,0,5,9,9,9,6,5,3,6,6,7,0,4,6,6,5,5,4,1,1,2,3,3,6,3,3,2,2,0,6,3,
12,24,14,10,15,15,13,17,22,14,12,22,13,12,11,11,11,11,13,13,15,12,28,19,23,21,12,14,11,12,21,13,29,37,15,14,16,18,22,13,14,15,14,16,9,15,14,16,24,27,11,8,11,14,14,11,19,22,12,12,16,13,20,29,31,15,11,13,13,12,15,24,25,18,16,19,18,36,41,32,19,12,14,18,26,27,18,14,13,13,16,16,22,22,8,9,11,21,9,30,39,21,10,9,11,12,
-59.60%,-70.83%,-92.59%,-100.00%,-73.83%,-54.63%,-23.08%,-53.96%,-77.27%,-85.45%,-91.75%,-68.00%,-77.57%,-100.00%,-90.59%,-91.01%,-100.00%,-100.00%,-100.00%,-84.76%,-86.99%,-65.96%,-74.77%,-89.61%,-78.26%,-90.48%,-50.00%,-57.52%,-27.27%,-51.02%,-66.06%,-60.40%,-75.65%,-78.38%,-59.32%,-71.68%,-74.40%,-82.98%,-76.74%,-77.14%,-78.57%,-45.76%,-71.68%,-56.92%,-56.76%,-66.10%,-51.30%,-37.98%,-57.45%,-63.30%,-62.35%,-50.77%,-54.02%,-25.93%,-49.55%,-62.35%,-45.95%,-67.44%,-65.96%,-75.00%,-80.95%,-61.90%,-65.00%,-66.02%,-60.66%,-53.72%,-55.06%,-77.57%,-54.72%,-75.00%,-79.83%,-70.21%,-84.16%,-71.83%,-75.19%,-100.00%,-72.60%,-74.74%,-77.78%,-72.20%,-69.03%,-57.89%,-78.57%,-66.67%,-76.92%,-73.83%,-100.00%,-71.17%,-54.72%,-54.29%,-69.23%,-69.47%,-81.92%,-95.38%,-87.10%,-76.47%,-72.73%,-85.63%,-36.00%,-89.83%,-92.33%,-90.64%,-79.49%,-100.00%,-45.45%,-74.19%,
8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,5 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,7 out of 11,7 out of 11,6 out of 11,9 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,6 out of 11,8 out of 11,6 out of 11,5 out of 11,8 out of 11,7 out of 11,8 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,7 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,9 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1811.60,2802.20,325.60,0.00,1560.35,2702.52,3730.09,2886.30,1739.82,730.02,389.52,2573.25,1188.21,0.00,340.50,297.93,0.00,0.00,0.00,641.56,791.13,1429.56,2588.03,922.95,1944.89,712.87,2401.07,2401.07,3062.37,1945.52,2862.68,1977.92,2492.70,2962.65,2372.47,1511.96,1461.60,1083.79,1811.57,1103.11,1173.08,3142.73,1523.45,2587.64,1575.04,1630.35,2513.59,3532.07,3364.27,3325.33,1414.68,1473.17,1737.90,3405.66,2328.57,1547.37,3326.59,2448.79,1250.21,893.79,926.90,1684.41,2325.97,3526.01,4735.53,3141.69,1936.89,1054.00,2003.74,1133.62,1042.03,2289.71,1373.06,1841.52,1306.18,0.00,2142.74,3867.38,3867.38,3852.69,2554.28,2253.99,1490.25,2816.51,2719.04,3074.81,0.00,1879.16,2570.76,2646.61,2121.68,2085.59,1427.46,413.06,423.31,848.93,1210.71,1232.07,2314.71,1174.56,1261.77,890.02,890.01,0.00,2386.52,1056.55,
6020.80,10604.61,5330.92,4292.29,6959.09,7257.80,6092.00,7053.14,8844.16,5011.25,4264.24,10120.10,4622.08,3966.50,3532.73,3810.53,3740.32,3599.03,3999.69,4181.30,4950.45,4128.23,13207.85,6621.66,8379.09,9598.86,5110.55,6872.21,5608.23,5941.97,9566.55,5388.41,11971.82,14738.85,5305.94,5185.03,6497.17,7401.03,8640.27,4901.02,5636.73,6169.06,5931.73,7281.83,2903.44,5622.73,5416.04,6235.57,9072.17,10605.29,3885.34,3300.69,4703.19,5801.73,5369.39,3450.01,7031.12,8374.57,4175.21,4431.07,5919.60,5316.03,9344.39,14420.91,14395.74,5870.47,3674.47,5138.68,5819.52,4040.24,5356.38,8387.33,9359.06,6283.87,6089.45,7400.18,14669.25,27869.22,32041.32,19747.25,8892.44,5284.24,6148.79,8390.98,11680.84,11932.21,6925.13,5432.82,5961.83,6480.45,8173.10,7819.32,10100.75,10270.69,2989.03,3468.45,4854.92,8561.33,4033.29,13435.84,18508.86,8921.51,4727.53,4547.81,6165.72,4452.97,
-69.91%,-73.58%,-93.89%,-100.00%,-77.58%,-62.76%,-38.77%,-59.08%,-80.33%,-85.43%,-90.87%,-74.57%,-74.29%,-100.00%,-90.36%,-92.18%,-100.00%,-100.00%,-100.00%,-84.66%,-84.02%,-65.37%,-80.41%,-86.06%,-76.79%,-92.57%,-53.02%,-65.06%,-45.40%,-67.26%,-70.08%,-63.29%,-79.18%,-79.90%,-55.29%,-70.84%,-77.50%,-85.36%,-79.03%,-77.49%,-79.19%,-49.06%,-74.32%,-64.46%,-45.75%,-71.00%,-53.59%,-43.36%,-62.92%,-68.64%,-63.59%,-55.37%,-63.05%,-41.30%,-56.63%,-55.15%,-52.69%,-70.76%,-70.06%,-79.83%,-84.34%,-68.31%,-75.11%,-75.55%,-67.10%,-46.48%,-47.29%,-79.49%,-65.57%,-71.94%,-80.55%,-72.70%,-85.33%,-70.69%,-78.55%,-100.00%,-85.39%,-86.12%,-87.93%,-80.49%,-71.28%,-57.35%,-75.76%,-66.43%,-76.72%,-74.23%,-100.00%,-65.41%,-56.88%,-59.16%,-74.04%,-73.33%,-85.87%,-95.98%,-85.84%,-75.52%,-75.06%,-85.61%,-42.61%,-91.26%,-93.18%,-90.02%,-81.17%,-100.00%,-61.29%,-76.27%,
8 out of 11,7 out of 11,9 out of 11,9 out of 11,7 out of 11,6 out of 11,6 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,6 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,6 out of 11,7 out of 11,7 out of 11,8 out of 11,6 out of 11,6 out of 11,8 out of 11,8 out of 11,6 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,7 out of 11,6 out of 11,8 out of 11,7 out of 11,5 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,5 out of 11,6 out of 11,6 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,6 out of 11,6 out of 11,6 out of 11,6 out of 11,6 out of 11,9 out of 11,7 out of 11,7 out of 11,8 out of 11,6 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.32,400.31,325.60,0.00,390.09,386.07,373.01,360.79,347.96,365.01,389.52,367.61,396.07,0.00,340.50,297.93,0.00,0.00,0.00,320.78,395.57,357.39,369.72,461.48,388.98,356.44,400.18,400.18,382.80,324.25,408.95,395.58,356.10,370.33,395.41,377.99,365.40,361.26,362.31,367.70,391.03,392.84,380.86,369.66,393.76,326.07,359.08,353.21,336.43,332.53,353.67,368.29,347.58,340.57,332.65,386.84,332.66,349.83,312.55,297.93,308.97,336.88,332.28,352.60,394.63,448.81,387.38,351.33,333.96,377.87,347.34,327.10,343.27,368.30,326.55,0.00,428.55,429.71,429.71,428.08,425.71,450.80,496.75,469.42,453.17,439.26,0.00,469.79,428.46,441.10,424.34,417.12,356.87,413.06,423.31,424.47,403.57,410.69,385.79,391.52,420.59,445.01,445.01,0.00,397.75,352.18,
486.53,441.86,394.88,418.76,455.27,470.41,468.62,405.94,402.01,364.45,351.69,462.63,345.58,327.13,332.49,342.52,347.94,327.18,316.81,318.57,321.98,351.34,475.96,343.98,364.31,457.09,425.88,486.53,509.84,485.06,463.83,426.80,416.41,398.35,359.72,367.08,415.82,419.92,401.87,373.41,402.62,418.24,419.95,448.11,313.89,381.20,376.77,386.70,386.05,389.18,365.68,406.24,432.48,429.76,386.98,324.71,380.06,389.51,355.34,369.26,375.85,405.03,467.22,490.03,471.99,388.13,330.29,384.20,439.21,336.69,360.09,356.91,370.66,354.02,377.64,389.48,803.79,782.29,791.14,609.95,458.96,444.99,439.20,466.17,449.26,446.06,382.08,391.55,449.95,493.75,502.96,477.52,456.53,474.95,385.68,408.05,441.36,410.12,430.22,455.45,473.07,417.38,484.88,485.10,560.52,383.05,
-25.53%,-9.40%,-17.55%,-100.00%,-14.32%,-17.93%,-20.40%,-11.12%,-13.44%,+0.15%,+10.76%,-20.54%,+14.61%,-100.00%,+2.41%,-13.02%,-100.00%,-100.00%,-100.00%,+0.69%,+22.85%,+1.72%,-22.32%,+34.16%,+6.77%,-22.02%,-6.03%,-17.75%,-24.92%,-33.15%,-11.83%,-7.31%,-14.48%,-7.03%,+9.92%,+2.97%,-12.13%,-13.97%,-9.84%,-1.53%,-2.88%,-6.07%,-9.31%,-17.51%,+25.45%,-14.46%,-4.69%,-8.66%,-12.85%,-14.56%,-3.28%,-9.34%,-19.63%,-20.75%,-14.04%,+19.14%,-12.47%,-10.19%,-12.04%,-19.32%,-17.79%,-16.83%,-28.88%,-28.05%,-16.39%,+15.63%,+17.28%,-8.55%,-23.96%,+12.23%,-3.54%,-8.35%,-7.39%,+4.03%,-13.53%,-100.00%,-46.68%,-45.07%,-45.69%,-29.82%,-7.24%,+1.31%,+13.10%,+0.70%,+0.87%,-1.53%,-100.00%,+19.98%,-4.78%,-10.66%,-15.63%,-12.65%,-21.83%,-13.03%,+9.76%,+4.02%,-8.56%,+0.14%,-10.33%,-14.04%,-11.09%,+6.62%,-8.22%,-100.00%,-29.04%,-8.06%,
7 out of 11,6 out of 11,7 out of 11,9 out of 11,6 out of 11,6 out of 11,6 out of 11,5 out of 11,7 out of 11,4 out of 11,3 out of 11,7 out of 11,3 out of 11,9 out of 11,5 out of 11,6 out of 11,9 out of 11,8 out of 11,9 out of 11,5 out of 11,1 out of 11,5 out of 11,7 out of 11,1 out of 11,3 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,6 out of 11,6 out of 11,3 out of 11,4 out of 11,6 out of 11,7 out of 11,6 out of 11,5 out of 11,6 out of 11,6 out of 11,7 out of 11,6 out of 11,2 out of 11,7 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,2 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,7 out of 11,2 out of 11,2 out of 11,6 out of 11,6 out of 11,4 out of 11,6 out of 11,5 out of 11,5 out of 11,5 out of 11,6 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,5 out of 11,4 out of 11,3 out of 11,5 out of 11,6 out of 11,6 out of 11,9 out of 11,2 out of 11,6 out of 11,6 out of 11,6 out of 11,6 out of 11,7 out of 11,6 out of 11,3 out of 11,5 out of 11,6 out of 11,5 out of 11,6 out of 11,7 out of 11,7 out of 11,5 out of 11,7 out of 11,9 out of 11,6 out of 11,7 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
