name,price,chk_out
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
"Condomínio luxuoso, apenas 50m do metrô Oscar freire e 5 minutos da Paulista",R$ 433,"qua., 13 de set."
Transamerica Jardins SP,R$ 584,"qua., 13 de set."
Casa Luxo 14 pessoas Jd Europa,R$ 1.800,"qua., 13 de set."
UNU Jardins,R$ 438,"qua., 13 de set."
Hotel Plaza Av Paulista,R$ 636,"qua., 13 de set."
Flat Whynd Paulista Al Campinas 540,R$ 625,"qua., 13 de set."
1508 - Rentaqui - Flat Cobertura Jardins Diamond,R$ 759,"qua., 13 de set."
Hotel Transamérica Prime Av Paulista,R$ 607,"qua., 13 de set."
Transamerica Paulista SP,R$ 531,"qua., 13 de set."
Apart Alameda Santos - Paulista,R$ 450,"qua., 13 de set."
Transamerica Al Santos SP,R$ 683,"qua., 13 de set."
21 Century,R$ 547,"qua., 13 de set."
Transamerica Alameda Santos SP,R$ 742,"qua., 13 de set."
Vossa Bossa Flat Jardins,R$ 443,"qua., 13 de set."
Sanches Le Premier,R$ 350,"qua., 13 de set."
Três de Julho Flats - Jardins II,R$ 500,"qua., 13 de set."
Transamerica Apart Jardins,R$ 642,"qua., 13 de set."
Transamerica Paulista,R$ 683,"qua., 13 de set."
Vossa Bossa Capote Valente,R$ 429,"qua., 13 de set."
Transamérica Paulista Trianon Masp,R$ 742,"qua., 13 de set."
Apto Cerqueira Cesar c garagem,R$ 800,"qua., 13 de set."
Transamerica Al Santos Jardins Paulista,R$ 881,"qua., 13 de set."
JP Crauford Choice Suites,R$ 447,"qua., 13 de set."
Transamerica Al Santos Jardins,R$ 689,"qua., 13 de set."
"Elegant Flat Paulista Alameda Campinas Garagem , Pool, Ar Cod,",R$ 555,"qua., 13 de set."
"Condomínio luxuoso, apenas 50m do metrô Oscar freire e 5 minutos da Paulista",R$ 433,"qua., 13 de set."
Transamerica Jardins SP,R$ 584,"qua., 13 de set."
Casa Luxo 14 pessoas Jd Europa,R$ 1.800,"qua., 13 de set."
UNU Jardins,R$ 438,"qua., 13 de set."
Hotel Plaza Av Paulista,R$ 636,"qua., 13 de set."
Flat Whynd Paulista Al Campinas 540,R$ 625,"qua., 13 de set."
1508 - Rentaqui - Flat Cobertura Jardins Diamond,R$ 759,"qua., 13 de set."
Hotel Transamérica Prime Av Paulista,R$ 607,"qua., 13 de set."
Transamerica Paulista SP,R$ 531,"qua., 13 de set."
Apart Alameda Santos - Paulista,R$ 450,"qua., 13 de set."
Transamerica Al Santos SP,R$ 683,"qua., 13 de set."
21 Century,R$ 547,"qua., 13 de set."
Transamerica Alameda Santos SP,R$ 742,"qua., 13 de set."
Vossa Bossa Flat Jardins,R$ 443,"qua., 13 de set."
Sanches Le Premier,R$ 350,"qua., 13 de set."
Três de Julho Flats - Jardins II,R$ 500,"qua., 13 de set."
Transamerica Apart Jardins,R$ 642,"qua., 13 de set."
Transamerica Paulista,R$ 683,"qua., 13 de set."
Vossa Bossa Capote Valente,R$ 429,"qua., 13 de set."
Transamérica Paulista Trianon Masp,R$ 742,"qua., 13 de set."
Apto Cerqueira Cesar c garagem,R$ 800,"qua., 13 de set."
Transamerica Al Santos Jardins Paulista,R$ 881,"qua., 13 de set."
JP Crauford Choice Suites,R$ 447,"qua., 13 de set."
Transamerica Al Santos Jardins,R$ 689,"qua., 13 de set."
"Elegant Flat Paulista Alameda Campinas Garagem , Pool, Ar Cod,",R$ 555,"qua., 13 de set."
